시군명,관서명,정원(명),관할인구(명),1인당담당인구(명)
수원시,수원소방서,269,664865,2472
수원시,수원남부소방서,285,565637,1985
성남시,성남소방서,296,462219,1562
성남시,분당소방서,270,494252,1831
부천시,부천소방서,400,851500,2129
안양시,안양소방서,282,565171,2004
안산시,안산소방서,413,709728,1719
용인시,용인소방서,496,1091025,2120
평택시,평택소방서,258,336623,1305
평택시,송탄소방서,257,211324,822
광명시,광명소방서,203,318275,1568
시흥시,시흥소방서,256,515449,2014
군포시,군포소방서,167,282741,1693
화성시,화성소방서,468,876783,1874
이천시,이천소방서,263,225888,859
김포시,김포소방서,350,468975,1340
광주시,광주소방서,281,390327,1389
안성시,안성소방서,259,196953,760
하남시,하남소방서,181,285528,1578
의왕시,의왕소방서,178,164762,926
오산시,오산소방서,190,237746,1251
여주시,여주소방서,213,114865,539
양평시,양평소방서,271,119152,440
과천시,과천소방서,146,61491,421
고양시,고양소방서,272,475658,1749
고양시,일산소방서,330,613494,1859
의정시,의정부소방서,255,460649,1807
남양시,남양주소방서,390,714857,1833
파주시,파주소방서,374,467421,1250
구리시,구리소방서,188,199925,1063
포천시,포천소방서,345,161111,467
양주시,양주소방서,295,233417,791
동두시,동두천소방서,157,97691,622
가평시,가평소방서,215,63711,296
연천시,연천소방서,213,44641,210

